"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","browser_name","browser_version","os_name","os_version","screen_resolution","window_resolution","window_width","window_height","success","response","stimulus","probe","probe1","complexity"
"[{""page_index"":0,""viewing_time"":64452.800000190735}]","64454.199999809265","instructions","0","64460","0.0-0.0","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","","","","",""
"","","fullscreen","1","67676","0.0-1.0","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","true","","","","",""
"","26716.39999961853","html-slider-response","2","94397","0.0-2.0-0.0","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Because there are a few numbers of people at our store, it has been very inconvenienced for those who have been difficult to connect to the phone.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Because there are a few people in our store, it has been very incovenient for those who are having difficulty connecting to us through the phone.</i></b></div><br>","Original: &nbsp;&nbsp;Because there are a few numbers of people at our store, it has been very inconvenienced for those who have been difficult to connect to the phone.","Suggested: &nbsp;&nbsp;Because there are a few people in our store, it has been very incovenient for those who are having difficulty connecting to us through the phone.","High"
"","16488","html-slider-response","3","110887","0.0-2.0-0.1","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;There were 41 hospitalizations, with similar numbers in the three day and five day treatments (18 and 23, respectively).</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Forty-one patients were admitted to hospital, 18 from the three-day treatment group and 23 from the five-day group.</i></b></div><br>","Original: &nbsp;&nbsp;There were 41 hospitalizations, with similar numbers in the three day and five day treatments (18 and 23, respectively).","Suggested: &nbsp;&nbsp;Forty-one patients were admitted to hospital, 18 from the three-day treatment group and 23 from the five-day group.","High"
"","20508.400000095367","html-slider-response","4","131399","0.0-2.0-0.2","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Even after working hard I failed my mid-term exams and I asked to repeat year.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Despite working hard, I failed my mid-term exams and was asked to repeat a year.</i></b></div><br>","Original: &nbsp;&nbsp;Even after working hard I failed my mid-term exams and I asked to repeat year.","Suggested: &nbsp;&nbsp;Despite working hard, I failed my mid-term exams and was asked to repeat a year.","Medium"
"","6566.5","html-slider-response","5","137968","0.0-2.0-0.3","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","4","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;I go to there with my friends.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;I go there with my friends.</i></b></div><br>","Original: &nbsp;&nbsp;I go to there with my friends.","Suggested: &nbsp;&nbsp;I go there with my friends.","Low"
"","32119.699999809265","html-slider-response","6","170091","0.0-2.0-0.4","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Accounting for the origin of any conceptual requires specifying the innate building blocks from which the representations are built, and specifying the learning mechanisms that accomplish the feat.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Accounting for the origin of any concept requires specifying the innate building blocks from which the representations are built, and specifying the learning mechanisms that accomplish the feat.</i></b></div><br>","Original: &nbsp;&nbsp;Accounting for the origin of any conceptual requires specifying the innate building blocks from which the representations are built, and specifying the learning mechanisms that accomplish the feat.","Suggested: &nbsp;&nbsp;Accounting for the origin of any concept requires specifying the innate building blocks from which the representations are built, and specifying the learning mechanisms that accomplish the feat.","Low"
"","38335.2999997139","html-slider-response","7","208429","0.0-2.0-0.5","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;I stopped believing in Santa Claus when he asked my autograph at department store but I still want believe him.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;I stopped believing in Santa Claus when he asked for my autograph in a department store, but I still want to believe in him.</i></b></div><br>","Original: &nbsp;&nbsp;I stopped believing in Santa Claus when he asked my autograph at department store but I still want believe him.","Suggested: &nbsp;&nbsp;I stopped believing in Santa Claus when he asked for my autograph in a department store, but I still want to believe in him.","Medium"
"","12865.199999809265","html-slider-response","8","221296","0.0-2.0-0.6","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Gloria was very angry on her boyfriend for arriving more than 20 minutes late.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Gloria was very angry with her boyfriend for arriving more than 20 minutes late.</i></b></div><br>","Original: &nbsp;&nbsp;Gloria was very angry on her boyfriend for arriving more than 20 minutes late.","Suggested: &nbsp;&nbsp;Gloria was very angry with her boyfriend for arriving more than 20 minutes late.","Low"
"","13054.799999713898","html-slider-response","9","234353","0.0-2.0-0.7","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;We won't do anything illegal; we'll just bend law a little.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;We won't do anything illegal; we'll just bend the law a little.</i></b></div><br>","Original: &nbsp;&nbsp;We won't do anything illegal; we'll just bend law a little.","Suggested: &nbsp;&nbsp;We won't do anything illegal; we'll just bend the law a little.","Low"
"","4636.800000190735","html-slider-response","10","238993","0.0-2.0-0.8","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Coco studied in the Art school of Brussels and now us living and working in the South of France since 2011, Coco develop a mix of media art using paper is ancient but authen</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Coco studied at the Art school of Brussels and is now living and working in the South of France. Since 2011, Coco has been developing a mix of media art using authentic antique paper.</i></b></div><br>","Original: &nbsp;&nbsp;Coco studied in the Art school of Brussels and now us living and working in the South of France since 2011, Coco develop a mix of media art using paper is ancient but authen","Suggested: &nbsp;&nbsp;Coco studied at the Art school of Brussels and is now living and working in the South of France. Since 2011, Coco has been developing a mix of media art using authentic antique paper.","High"
"","19510.10000038147","html-slider-response","11","258506","0.0-2.0-0.9","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","2","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;This is exact the way humans civilization should be evolving, and developing.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;This is exactly the way human civilization should be evolving and developing.</i></b></div><br>","Original: &nbsp;&nbsp;This is exact the way humans civilization should be evolving, and developing.","Suggested: &nbsp;&nbsp;This is exactly the way human civilization should be evolving and developing.","Low"
"","17581.799999713898","html-slider-response","12","276090","0.0-2.0-0.10","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Their proliferation with out credible solutions suggest biodiversity offset programs are successful “symbolic policies,” potential for obscuring biodiversity loss and dissipating impetus in action.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Their proliferation without credible solutions suggests biodiversity offset programs are successful “symbolic policies,” potentially obscuring biodiversity loss and dissipating impetus for action.</i></b></div><br>","Original: &nbsp;&nbsp;Their proliferation with out credible solutions suggest biodiversity offset programs are successful “symbolic policies,” potential for obscuring biodiversity loss and dissipating impetus in action.","Suggested: &nbsp;&nbsp;Their proliferation without credible solutions suggests biodiversity offset programs are successful “symbolic policies,” potentially obscuring biodiversity loss and dissipating impetus for action.","High"
"","13132.400000095367","html-slider-response","13","289225","0.0-2.0-0.11","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Don’t left the restaurant, until you washed all dishes .</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Don’t leave the restaurant until you wash all the dishes.</i></b></div><br>","Original: &nbsp;&nbsp;Don’t left the restaurant, until you washed all dishes .","Suggested: &nbsp;&nbsp;Don’t leave the restaurant until you wash all the dishes.","Medium"
"","6627.599999904633","html-slider-response","14","295856","0.0-2.0-0.12","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","4","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;We have read your plan. The same is satisfactory.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;We have read your proposal and it is satisfactory.</i></b></div><br>","Original: &nbsp;&nbsp;We have read your plan. The same is satisfactory.","Suggested: &nbsp;&nbsp;We have read your proposal and it is satisfactory.","High"
"","8235.799999713898","html-slider-response","15","304094","0.0-2.0-0.13","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","4","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Elissa is very sick and will taken her to hospital before getting worse.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Elissa is very sick, and we will be taking her to the hospital before she gets worse.</i></b></div><br>","Original: &nbsp;&nbsp;Elissa is very sick and will taken her to hospital before getting worse.","Suggested: &nbsp;&nbsp;Elissa is very sick, and we will be taking her to the hospital before she gets worse.","Medium"
"","43638.800000190735","html-slider-response","16","347737","0.0-2.0-0.14","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","2","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;The team captain jumped in joy and fans cheered since we won the state championship. </div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;The team captain jumped for joy and the fans cheered because we won the state championship. </i></b></div><br>","Original: &nbsp;&nbsp;The team captain jumped in joy and fans cheered since we won the state championship. ","Suggested: &nbsp;&nbsp;The team captain jumped for joy and the fans cheered because we won the state championship. ","Low"
"","5846.900000095367","html-slider-response","17","353590","0.0-2.0-0.15","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","2","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;They confisticated my licence.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;They confiscated my license.</i></b></div><br>","Original: &nbsp;&nbsp;They confisticated my licence.","Suggested: &nbsp;&nbsp;They confiscated my license.","Low"
"","17756.599999904633","html-slider-response","18","371350","0.0-2.0-0.16","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","1","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;When a distinguished but elder scientist say something is possible, he most probably right.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;When a distinguished but elderly scientist states that something is possible he is most probably right.</i></b></div><br>","Original: &nbsp;&nbsp;When a distinguished but elder scientist say something is possible, he most probably right.","Suggested: &nbsp;&nbsp;When a distinguished but elderly scientist states that something is possible he is most probably right.","Medium"
"","24180.900000095367","html-slider-response","19","395533","0.0-2.0-0.17","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;I’ve nixed the flirty fun–and sheer parts–in my wardrobe and instead opted for pinstripes and collars.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;I’ve nixed the flirty fun–and sheer parts–of my wardrobe and have instead opted for pinstripes and collars.</i></b></div><br>","Original: &nbsp;&nbsp;I’ve nixed the flirty fun–and sheer parts–in my wardrobe and instead opted for pinstripes and collars.","Suggested: &nbsp;&nbsp;I’ve nixed the flirty fun–and sheer parts–of my wardrobe and have instead opted for pinstripes and collars.","Medium"
"","15715.89999961853","html-slider-response","20","411251","0.0-2.0-0.18","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","4","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;But a growing number of independent authors is building their names and making great incomes from bypassing the old publishing system.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;But a growing number of independent authors are building their reputations and making good money by evading the old publishing system.</i></b></div><br>","Original: &nbsp;&nbsp;But a growing number of independent authors is building their names and making great incomes from bypassing the old publishing system.","Suggested: &nbsp;&nbsp;But a growing number of independent authors are building their reputations and making good money by evading the old publishing system.","High"
"","8927.099999904633","html-slider-response","21","420184","0.0-2.0-0.19","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;An evaluation of the program by us will allow greater efficiency in service to clients.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;We will evaluate the program so that we can serve clients better.</i></b></div><br>","Original: &nbsp;&nbsp;An evaluation of the program by us will allow greater efficiency in service to clients.","Suggested: &nbsp;&nbsp;We will evaluate the program so that we can serve clients better.","High"
"","17565","html-slider-response","22","437751","0.0-2.0-0.20","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","2","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;First, the cybernetics technology and electronic reproduction created new forms in powerful pictoral simulation and illusionism.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;First, cybernetics technology and electronic reproduction created new forms of powerful pictorial simulation and illusionism.</i></b></div><br>","Original: &nbsp;&nbsp;First, the cybernetics technology and electronic reproduction created new forms in powerful pictoral simulation and illusionism.","Suggested: &nbsp;&nbsp;First, cybernetics technology and electronic reproduction created new forms of powerful pictorial simulation and illusionism.","Medium"
"","26314.400000095367","html-slider-response","23","464067","0.0-2.0-0.21","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","2","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Beginning next fall, students in the city's public schools will have to leave their cigarettes and other tobaco products at home.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Beginning next fall, students in the city's public schools will have to leave their cigarettes and other tobacco products at home.</i></b></div><br>","Original: &nbsp;&nbsp;Beginning next fall, students in the city's public schools will have to leave their cigarettes and other tobaco products at home.","Suggested: &nbsp;&nbsp;Beginning next fall, students in the city's public schools will have to leave their cigarettes and other tobacco products at home.","Low"
"","9243.700000286102","html-slider-response","24","473313","0.0-2.0-0.22","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;When the girls on the team got to the hotel, they dropped off her luggage.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;When the girls on the team got to the hotel, they dropped off their luggage.</i></b></div><br>","Original: &nbsp;&nbsp;When the girls on the team got to the hotel, they dropped off her luggage.","Suggested: &nbsp;&nbsp;When the girls on the team got to the hotel, they dropped off their luggage.","Low"
"","17974.900000095367","html-slider-response","25","491294","0.0-2.0-0.23","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;Several twin studies have shown that exercise behavior is influenced by genetic factors.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;Several twin studies have shown that genetic factors influence exercise behavior.</i></b></div><br>","Original: &nbsp;&nbsp;Several twin studies have shown that exercise behavior is influenced by genetic factors.","Suggested: &nbsp;&nbsp;Several twin studies have shown that genetic factors influence exercise behavior.","Medium"
"","7260.300000190735","html-slider-response","26","498557","0.0-2.0-0.24","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;They see Chen is caught by a cop in the park last night.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;They saw that Chen was caught by a cop in the park last night.</i></b></div><br>","Original: &nbsp;&nbsp;They see Chen is caught by a cop in the park last night.","Suggested: &nbsp;&nbsp;They saw that Chen was caught by a cop in the park last night.","Medium"
"","5512.299999713898","html-slider-response","27","504073","0.0-2.0-0.25","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","4","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;I stayed at Greece throughout a week</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;I stayed in Greece for a week</i></b></div><br>","Original: &nbsp;&nbsp;I stayed at Greece throughout a week","Suggested: &nbsp;&nbsp;I stayed in Greece for a week","Low"
"","18205.599999904633","html-slider-response","28","522281","0.0-2.0-0.26","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","3","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;While in section 7, we emphasis on utilizing cloud computing servicing in combating COVID-19</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;While in section 7, we emphasize on utilizing cloud computing servicing in combating COVID-19.</i></b></div><br>","Original: &nbsp;&nbsp;While in section 7, we emphasis on utilizing cloud computing servicing in combating COVID-19","Suggested: &nbsp;&nbsp;While in section 7, we emphasize on utilizing cloud computing servicing in combating COVID-19.","Low"
"","10680.5","html-slider-response","29","532964","0.0-2.0-0.27","Chrome","106.0","Windows","10","1536 x 864","1536 x 722","1536","722","","2","<div style =""font-size:20px; position:relative; top: 35%; margin-right:auto"">Original: &nbsp;&nbsp;I wanna have a cup of coffee.</div><br><div style =""font-size:20px; position:relative; top: 40%; margin-right:auto""><i><b>Suggested: &nbsp;&nbsp;I want to have a cup of coffee.</i></b></div><br>","Original: &nbsp;&nbsp;I wanna have a cup of coffee.","Suggested: &nbsp;&nbsp;I want to have a cup of coffee.","Low"
